"Título";"ENP ID";"SIDE CODE";"SITE CODE NAT";"Figura asimilable Ley de Patrimonio";"Comunidad autónoma";"Figura CCAA";"Enlace";"Primera designación";"Norma primera designación";"Año primera designación";"Norma del PORN vigente";"Año del PORN vigente";"Norma declaración vigente";"Año declaración vigente";"Norma del instrumento de gestión vigente";"Año del instrumento de gestión vigente";"Año de aprobación de PUP";"Año de aprobación de PDS";"Superficie Total";"Superficie Terrestre";"Superficie Marina";"Superficie Pública";"Registros"
"Barranc del Fonillet";"520197";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 22 microrreservas vegetales en la provincia de Castellón. DOGV 3930 de 1 de febrero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 22 microrreservas vegetales en la provincia de Castellón. DOGV 3930 de 1 de febrero de 2001";"2001";"";"";"";"";"";"";"Datos Barranc del Fonillet (2012)"
"Barranc de les Mollolades";"520172";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Barranc de les Mollolades (2012)"
"Barranc de l'Escolgador de Crist";"520156";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 18 microrreservas vegetales en la provincia de Alicante. DOGV 3928 de 30 de enero de 2001";"2001";"";"";"";"";"";"";"Datos Barranc de l'Escolgador de Crist (2012)"
"Barranc de l'Emboixar";"520233";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2002";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2002";"";"";"";"";"";"";"Datos Barranc de l'Emboixar (2012)"
"Barranc del Comediant";"520327";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 17 de julio de 2006, de la Conselleria de Territorio y Vivienda, por la que se declaran 16 microrreservas vegetales en la provincia de Valencia DOGV 5343 de 11 de septiembre de 2006";"2006";"Orden de 17 de julio de 2006, de la Conselleria de Territorio y Vivienda, por la que se declaran 16 microrreservas vegetales en la provincia de Valencia DOGV 5343 de 11 de septiembre de 2006";"2006";"";"";"";"";"";"";"Datos Barranc del Comediant (2012)"
"Barranc del Carrascal Negre";"520218";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de junio de 2001, de la Conselleria de Medio Ambiente, por la que se declaran 16 microrreservas vegetales en la provincia de Alicante. DOGV 4059";"2001";"Orden de 13 de junio de 2001, de la Conselleria de Medio Ambiente, por la que se declaran 16 microrreservas vegetales en la provincia de Alicante. DOGV 4059";"2001";"";"";"";"";"";"";"Datos Barranc del Carrascal Negre (2012)"
"Barranc del Boig";"520234";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2002";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2002";"";"";"";"";"";"";"Datos Barranc del Boig (2012)"
"Barranc de la Trinitat";"510233";"349229";"ES514014";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 279/1998 de 21 de octubre. DOGC 2756 de 2 de noviembre de 1998";"1998";"";"";"";"";"";"";"";"";"Datos Barranc de la Trinitat (2012)"
"Barranc de l'Assut";"520430";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"0";"0";"0";"0";"subvención";"2008";"0";"0";"0";"0";"";"";"";"";"Datos Barranc de l'Assut (2012)"
"Barranc de la Safor";"520375";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"0";"Orden 2/2011, de 24 de enero. DOCV 6450";"2011";"Orden 2/2011, de 24 de enero. DOCV 6450 del 1 de febrero de 2011.";"2011";"0";"0";"";"";"";"";"Datos Barranc de la Safor (2012)"
"Barranc de la Pegunta";"520078";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 16 de noviembre de 1998, de la Consellería de Medio Ambiente, por la que se declaran 14 microrreservas vegetales en la provincia de Castellón. DOGV 3385 de 2 de diciembre de 1998";"1998";"Orden de 16 de noviembre de 1998, de la Consellería de Medio Ambiente, por la que se declaran 14 microrreservas vegetales en la provincia de Castellón. DOGV 3385 de 2 de diciembre de 1998";"1998";"";"";"";"";"";"";"Datos Barranc de la Pegunta (2012)"
"Barranc de la Parra";"520627";"";"";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"2017";"Orden 24/2017 de 31 de agosto";"";"";"";"Orden 24/2017 de 31 de agosto";"2017";"";"";"";"";"11.73 ha";"11.73 ha";"";"";""
"Barranc de la Mina";"520378";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"0";"0";"0";"";"Orden de 11 de marzo de 2008. DOCV 5738 del 9 de septiembre de 2008.";"2008";"Orden de 11 de marzo de 2008. DOCV 5738, de 9 de septiembre de 2008.";"2008";"";"";"";"";"";"";"Datos Barranc de la Mina (2012)"
"Barranc de la Cova Alta";"520267";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2003";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2003";"";"";"";"";"";"";"Datos Barranc de la Cova Alta (2012)"
"Barranc d'Aigua Oliva";"520266";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2003";"Orden de 13 de noviembre de 2002, de la Conselleria de Medio Ambiente, por la que se declaran 11 microrreservas vegetales en la provincia de Alicante. DOGV 4390 de 2 de diciembre de 2002";"2003";"";"";"";"";"";"";"Datos Barranc d'Aigua Oliva (2012)"
"Barrancas de Castrejón y Calaña";"420105";"0";"0";"Monumento Natural";"Castilla-La Mancha";"Monumento Natural";"www.redeuroparc.org";"0";"0";"0";"0";"";"Decreto 224/2010, de 26 de octubre de 2010. BOCM 210.";"2010";"";"";"";"";"";"";"";"";"Datos Barrancas de Castrejón y Calaña (2012)"
"Bardenas Reales";"220105";"0";"0";"Parque Natural";"Comunidad Foral de Navarra";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto Foral 267/1996 de 1 de julio. BON 97.";"1998";"Ley Foral 10/1999 de 6 de abril. BON 43 de 9 de abril de 1999. Modificado por Ley Foral 16/2000, de 29 de diciembre.";"1999";"";"";"";"";"";"";"";"";"Datos Bardenas Reales (2012)"
"Barayo";"120002";"349213";"ES120010";"Reserva Natural";"Principado de Asturias";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"Decreto 38/1994, de 19 de mayo. BOPA 152.";"1994";"Decreto 70/95 de 27 de Abril. BOPA 129 de 6 de Junio de 1995";"1995";"Decreto 152/2002, de 28 de noviembre.BOPA 297.";"2002";"";"";"";"";"";"";"Datos Barayo (2012)"
"Banys de la Reina";"520402";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Orden 11/2010, de 26 de Mayo de 2010. DOCV 6286 del 10 de junio de 2010.";"2010";"Orden 11/2010, de 26 de mayo. DOCV 6286 del 10 de junio de 2010.";"2010";"0";"0";"";"";"";"";"Datos Banys de la Reina (2012)"
"Bandama";"700014";"19112";"ES701035";"Monumento Natural";"Islas Canarias";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"Decreto 277/2003, de 16 de octubre de 2003";"2003";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 15 de diciembre de 2005. BOC 251. Lunes 26 de Diciembre de 2005.";"2005";"";"";"";"";"";"";"Datos Bandama (2012)"
"Balsa Silvestre";"520386";"0";"0";"Reserva Natural";"Comunidad Valenciana";"Reserva de Fauna";"www.redeuroparc.org";"0";"0";"0";"0";"";"Orden de 17 de junio de 2009. DOCV 6041 del 23 de junio de 2009.";"2009";"Orden de 17 de junio de 2009, DOCV 6041 de 23 de junio de 2009";"2009";"";"";"";"";"";"";"Datos Balsa Silvestre (2012)"
"Balsa Rampetes";"520356";"389261";"ES523132";"Reserva Natural";"Comunidad Valenciana";"Reserva de Fauna";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 23 de noviembre de 2006 de la Consellería de Territorio y Vivienda por la que se declaran seis reservas de fauna en la Comunitat Valenciana DOGV 5414 de 26 de diciembre de 2006";"2006";"Orden de 23 de noviembre de 2006 de la Consellería de Territorio y Vivienda por la que se declaran seis reservas de fauna en la Comunitat Valenciana DOGV 5414 de 26 de diciembre de 2006";"2006";"";"";"";"";"";"";"Datos Balsa Rampetes (2012)"
"Balsa Pedrosa";"520392";"0";"0";"Reserva Natural";"Comunidad Valenciana";"Reserva de Fauna";"www.redeuroparc.org";"0";"0";"0";"0";"";"Orden de 17 de junio de 2009. DOCV 6041 del 23 de junio de 2009.";"2009";"Orden de 17 de junio de 2009, DOCV 6041 de 23 de junio de 2009";"2009";"";"";"";"";"";"";"Datos Balsa Pedrosa (2012)"
"Balsa de Pulguer";"220004";"0";"0";"Reserva Natural";"Comunidad Foral de Navarra";"Reserva Natural";"www.redeuroparc.org";"0";"0";"0";"0";"";"Ley Foral 6/1987 10 de abril. BON 49 de 20 de abril de 1987";"1987";"Decreto Foral 230/1998, de 6 de julio. BON 100.";"1998";"";"";"";"";"";"";"Datos Balsa de Pulguer (2012)"
"Balsa de la Dehesa";"520196";"0";"0";"Otros";"Comunidad Valenciana";"Microrreserva de flora";"www.redeuroparc.org";"0";"";"";"0";"";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 22 microrreservas vegetales en la provincia de Castellón. DOGV 3930 de 1 de febrero de 2001";"2001";"Orden de 6 de noviembre de 2000, de la Conselleria de Medio Ambiente, por la que se declaran 22 microrreservas vegetales en la provincia de Castellón. DOGV 3930 de 1 de febrero de 2001";"2001";"";"";"";"";"";"";"Datos Balsa de la Dehesa (2012)"
"Balsa de Chovar";"520480";"389327";"ES522126";"0";"Comunidad Valenciana";"Zonas Húmedas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"Acuerdo de 10 de septiembre de 2002, del Gobierno Valenciano, de aprobación del Catálogo de Zonas Húmedas de la Comunidad Valenciana (DOCV nº4.336, de 16.09.2002)";"0";"0";"0";"0";"0";"";"";"";"";"Datos Balsa de Chovar (2012)"
"Balsa de Agua Salada";"220003";"0";"0";"Reserva Natural";"Comunidad Foral de Navarra";"Reserva Natural";"www.redeuroparc.org";"0";"0";"0";"0";"";"Ley Foral 6/1987 10 de abril. BON 49 de 20 de abril de 1987";"1987";"Decreto Foral 230/1998, de 6 de julio. BON 100.";"1998";"";"";"";"";"";"";"Datos Balsa de Agua Salada (2012)"
"Balsa Blanca";"520421";"0";"0";"Reserva Natural";"Comunidad Valenciana";"Reserva de Fauna";"www.redeuroparc.org";"0";"0";"0";"0";"";"Orden de 17 de junio de 2009. DOCV 6041 del 23 de junio de 2009.";"2009";"Orden de 17 de junio de 2009, DOCV 6041 de 23 de junio de 2009";"2009";"";"";"";"";"";"";"Datos Balsa Blanca (2012)"
"Baixa Limia-Serra do Xurés";"110006";"389015";"ES113001";"Parque Natural";"Galicia";"Parque Natural";"www.redeuroparc.org";"Parque Natual";"Solapa";"1993";"Decreto 64/2009 del 19 de febrero, DOG 61 del 30 de marzo de 2009";"2009";"Decreto 29 /1993 de 11 de febrero";"1993";"Decreto 155/1998, de 28 de mayo. DOG de 5 de junio de 1998.";"1998";"";"";"";"";"";"";"Datos Baixa Limia-Serra do Xurés (2012)"
"Baish Aràn";"510048";"15442";"ES513002";"Reserva Natural";"Cataluña";"Reserva Natural Parcial";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 123/1987 de 12 de marzo. DOGC 833 de 29 de abril de 1987";"1987";"";"";"";"";"";"";"";"";"Datos Baish Aràn (2012)"
"Bahía de Cádiz";"610025";"142805";"ES612013";"Parque Natural";"Andalucía";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 79/2004, de 24 de febrero.";"2004";"Ley 2/ 89, de 18 de julio. BOJA nº 60 de 27/07/89).";"1989";"Decreto 79/2004,";"2004";"2006";"2006";"";"";"";"";"Datos Bahía de Cádiz (2012)"
"Badina Escudera";"220042";"0";"0";"Monumento Natural";"Comunidad Foral de Navarra";"Enclave Natural";"www.redeuroparc.org";"0";"0";"0";"0";"";"Decreto Foral 72/1989 de 16 de marzo. BON 37 de 27 de marzo de 1989";"1989";"";"";"";"";"";"";"";"";"Datos Badina Escudera (2012)"
"Babia y Luna";"410027";"555588762";"ES413001";"Parque Natural";"Castilla y León";"Paraje Natural";"www.redeuroparc.org";"2015";"";"";"";"";"";"";"";"";"";"";"57756.69 ha";"57756.69 ha";"";"";""
"Azuaje";"700013";"349217";"ES701051";"Reserva Natural";"Islas Canarias";"Reserva Natural Especial";"www.redeuroparc.org";"0";"";"";"Decreto 277/2003, de 16 de octubre de 2003";"2003";"Ley 12/1994, de 19 de diciembre. BOC 157 de 24 de diciembre de 1994";"1994";"Resolución de 17 de septiembre de 2004. BOC 191. Viernes 1 de Octubre de 2004.";"2004";"";"";"";"";"";"";"Datos Azuaje (2012)"
"Aztaparreta";"220002";"0";"0";"Reserva Natural";"Comunidad Foral de Navarra";"Reserva Integral";"www.redeuroparc.org";"0";"0";"0";"0";"";"Ley Foral 6/1987 10 de abril. BON 49 de 20 de abril de 1987";"1987";"Decreto Foral 231/1998, de 6 de julio. BON 97.";"1998";"";"";"";"";"";"";"Datos Aztaparreta (2012)"
"Avencs de Partagat";"520570";"389363";"ES521150";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avencs de Partagat (2012)"
"Avenc Llengua de Cervol";"520586";"389427";"ES523168";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc Llengua de Cervol (2012)"
"Avenc Estret";"520569";"389362";"ES521149";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc Estret (2012)"
"Avenc des Tossals";"530064";"389515";"ES530033";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc des Tossals (2012)"
"Avenc des Puig Caragoler";"530061";"389514";"ES530032";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc des Puig Caragoler (2012)"
"Avenc de Son Pou";"530044";"389508";"ES530026";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc de Son Pou (2012)"
"Avenc des Llorer";"530057";"389513";"ES530031";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc des Llorer (2012)"
"Avenc des Gorg Blau";"530069";"389512";"ES530030";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc des Gorg Blau (2012)"
"Avenc des Gel";"530054";"389511";"ES530029";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc des Gel (2012)"
"Avenc de sa Mitjania";"530058";"389507";"ES530025";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc de sa Mitjania (2012)"
"Avenc de s'aigua";"530056";"389506";"ES530024";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc de s'aigua (2012)"
"Avenc de Quatretonda";"520584";"389425";"ES523166";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc de Quatretonda (2012)"
"Avenc d`en Soria";"520594";"389391";"ES522140";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc d`en Soria (2012)"
"Avenc d`en Serengue";"520593";"389392";"ES522141";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc d`en Serengue (2012)"
"Avenc del Turio";"520595";"389390";"ES522139";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc del Turio (2012)"
"Avenc dels Silos";"530068";"389510";"ES530028";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc dels Silos (2012)"
"Avenc del Simarro";"520585";"389426";"ES523167";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc del Simarro (2012)"
"Avenc del Silenci";"530065";"389509";"ES530027";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc del Silenci (2012)"
"Avenc del Pla de Litrago";"520616";"389389";"ES522138";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc del Pla de Litrago (2012)"
"Avenc del Morro de l`Estepar";"520568";"389361";"ES521148";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc del Morro de l`Estepar (2012)"
"Avenc del Mig";"520567";"389360";"ES521147";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc del Mig (2012)"
"Avenc de l`Indi";"520613";"389388";"ES522137";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc de l`Indi (2012)"
"Avenc de l'Anfora";"530067";"389505";"ES530023";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc de l'Anfora (2012)"
"Avenc de la Donzella";"520573";"389424";"ES523165";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc de la Donzella (2012)"
"Avenc de Fra Rafel";"530052";"389504";"ES530022";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc de Fra Rafel (2012)"
"Avenc de Femenia";"530060";"389503";"ES530021";"Otros";"Illes Balears";"Sitio de Interés Científico";"www.redeuroparc.org";"0";"";"";"Decreto 19/2007, de 16 de marzo. BOIB 54, 11 de abril de 2007.Decreto 19/2007, de 16 de marzo. BOIB 54.";"2007";" Acuerdo del Consejo de Gobierno de 16 de marzo de 2007 , por el que se declara Paraje Natural de la Serra de Tramuntana.  ";"2007";"";"";"";"";"";"";"";"";"Datos Avenc de Femenia (2012)"
"Avenc de Bellver";"520609";"389387";"ES522136";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc de Bellver (2012)"
"Avenc Ample";"520566";"389359";"ES521146";"No ENP";"Comunidad Valenciana";"Cuevas";"www.redeuroparc.org";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"Datos Avenc Ample (2012)"
"Avellanos de Orión";"220074";"349218";"ES220075";"Monumento Natural";"Comunidad Foral de Navarra";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto Foral 165/1991 de 25 de abril. BON 63  de 17 de mayo de 1991";"1991";"";"";"";"";"";"";"";"";"Datos Avellanos de Orión (2012)"
"Artiga de Lin, Era";"510088";"389084";"ES510088";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Artiga de Lin, Era (2012)"
"Arribes del Duero";"410016";"349215";"ES410002";"Parque Natural";"Castilla y León";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 164/2001 de 7 de junio. BOCYL 114.";"2001";"Ley 5/2002 de 11 de abril. BOCyL 79 de 26 de abril de 2002";"2002";"";"";"";"";"";"";"";"";"Datos Arribes del Duero (2012)"
"Arribèra deth Garona";"510087";"389083";"ES510087";"PEIN";"Cataluña";"PEIN";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 328/1992 de 14 de diciembre. DOGC 1714 de 1 de marzo de 1993";"1992";"";"";"";"";"";"";"";"";"Datos Arribèra deth Garona (2012)"
"Arrecife Barrera de Posidonia";"610105";"20934";"ES611010";"Monumento Natural";"Andalucía";"Monumento Natural";"www.redeuroparc.org";"0";"";"";"0";"";"Decreto 226/2001, de 2 de octubre, BOJA 135/2001 de 22 de noviembre de 2001";"2001";"";"";"";"";"";"";"";"";"Datos Arrecife Barrera de Posidonia (2012)"
"Armañon";"210040";"389018";"ES213011";"Parque Natural";"País Vasco";"Parque Natural";"www.redeuroparc.org";"0";"";"";"Decreto 175/2006, de 19 de septiembre. BOPV 228.";"2006";"Decreto 176/2006 de 19 de septiembre. BOPV 228 de 29 de noviembre de 2006";"2006";"";"";"";"";"";"";"";"";"Datos Armañon (2012)"
